Time,Data
3.1,-0.733
3.104,-0.733
3.108,-0.69
3.112,-0.71
3.116,-0.715
3.12,-0.723
3.124,-0.688
3.128,-0.735
3.132,-0.72
3.136,-0.708
3.14,-0.7
3.144,-0.698
3.148,-0.715
3.152,-0.72
3.156,-0.713
3.16,-0.733
3.164,-0.713
3.168,-0.69
3.172,-0.698
3.176,-0.708
3.18,-0.69
3.184,-0.725
3.188,-0.703
3.192,-0.723
3.196,-0.715
3.2,-0.677
3.204,-0.688
3.208,-0.708
3.212,-0.703
3.216,-0.67
3.22,-0.723
3.224,-0.688
3.228,-0.71
3.232,-0.682
3.236,-0.635
3.24,-0.657
3.244,-0.682
3.248,-0.662
3.252,-0.695
3.256,-0.688
3.26,-0.66
3.264,-0.627
3.268,-0.623
3.272,-0.66
3.276,-0.632
3.28,-0.652
3.284,-0.625
3.288,-0.625
3.292,-0.67
3.296,-0.632
3.3,-0.637
3.304,-0.632
3.308,-0.625
3.312,-0.61
3.316,-0.623
3.32,-0.665
3.324,-0.635
3.328,-0.603
3.332,-0.588
3.336,-0.578
3.34,-0.557
3.344,-0.61
3.348,-0.578
3.352,-0.595
3.356,-0.56
3.36,-0.527
3.364,-0.5
3.368,-0.5
3.372,-0.512
3.376,-0.472
3.38,-0.487
3.384,-0.5
3.388,-0.465
3.392,-0.445
3.396,-0.45
3.4,-0.415
3.404,-0.422
3.408,-0.42
3.412,-0.41
3.416,-0.425
3.42,-0.422
3.424,-0.42
3.428,-0.453
3.432,-0.427
3.436,-0.41
3.44,-0.425
3.444,-0.465
3.448,-0.435
3.452,-0.415
3.456,-0.415
3.46,-0.39
3.464,-0.37
3.468,-0.338
3.472,-0.34
3.476,-0.328
3.48,-0.323
3.484,-0.338
3.488,-0.31
3.492,-0.282
3.496,-0.237
3.5,-0.122
3.504,0.037
3.508,0.278
3.512,0.613
3.516,1.045
3.52,1.47
3.524,1.972
3.528,2.288
3.532,2.395
3.536,2.145
3.54,1.66
3.544,1.065
3.548,0.475
3.552,-0.007
3.556,-0.25
3.56,-0.347
3.564,-0.378
3.568,-0.362
3.572,-0.328
3.576,-0.295
3.58,-0.333
3.584,-0.345
3.588,-0.388
3.592,-0.412
3.596,-0.41
3.6,-0.432
3.604,-0.427
3.608,-0.432
3.612,-0.435
3.616,-0.445
3.62,-0.435
3.624,-0.4
3.628,-0.458
3.632,-0.432
3.636,-0.403
3.64,-0.375
3.644,-0.44
3.648,-0.44
3.652,-0.448
3.656,-0.45
3.66,-0.445
3.664,-0.46
3.668,-0.453
3.672,-0.453
3.676,-0.445
3.68,-0.448
3.684,-0.458
3.688,-0.46
3.692,-0.465
3.696,-0.403
3.7,-0.425
3.704,-0.39
3.708,-0.4
3.712,-0.388
3.716,-0.425
3.72,-0.463
3.724,-0.45
3.728,-0.427
3.732,-0.422
3.736,-0.375
3.74,-0.39
3.744,-0.388
3.748,-0.41
3.752,-0.407
3.756,-0.435
3.76,-0.395
3.764,-0.388
3.768,-0.372
3.772,-0.362
3.776,-0.357
3.78,-0.385
3.784,-0.385
3.788,-0.403
3.792,-0.375
3.796,-0.37
3.8,-0.352
3.804,-0.362
3.808,-0.347
3.812,-0.36
3.816,-0.335
3.82,-0.39
3.824,-0.32
3.828,-0.325
3.832,-0.285
3.836,-0.263
3.84,-0.253
3.844,-0.225
3.848,-0.2
3.852,-0.177
3.856,-0.163
3.86,-0.125
3.864,-0.1
3.868,-0.085
3.872,-0.063
3.876,-0.06
3.88,-0.063
3.884,-0.095
3.888,-0.083
3.892,-0.075
3.896,-0.085
3.9,-0.09
3.904,-0.063
3.908,-0.077
3.912,-0.1
3.916,-0.087
3.92,-0.125
3.924,-0.107
3.928,-0.113
3.932,-0.07
3.936,-0.095
3.94,-0.102
3.944,-0.1
3.948,-0.113
3.952,-0.095
3.956,-0.122
3.96,-0.09
3.964,-0.077
3.968,-0.077
3.972,-0.087
3.976,-0.1
3.98,-0.098
3.984,-0.1
3.988,-0.125
3.992,-0.075
3.996,-0.075
4.0,-0.083
4.004,-0.072
4.008,-0.098
4.012,-0.09
4.016,-0.138
4.02,-0.14
4.024,-0.1
4.028,-0.115
4.032,-0.113
4.036,-0.11
4.04,-0.11
4.044,-0.125
4.048,-0.147
4.052,-0.147
4.056,-0.185
4.06,-0.163
4.064,-0.145
4.068,-0.113
4.072,-0.14
4.076,-0.14
4.08,-0.135
4.084,-0.182
4.088,-0.158
4.092,-0.165
4.096,-0.185
4.1,-0.15
4.104,-0.15
4.108,-0.158
4.112,-0.172
4.116,-0.188
4.12,-0.19
4.124,-0.182
4.128,-0.175
4.132,-0.185
4.136,-0.172
4.14,-0.133
4.144,-0.175
4.148,-0.16
4.152,-0.203
4.156,-0.185
4.16,-0.188
4.164,-0.145
4.168,-0.177
4.172,-0.14
4.176,-0.16
4.18,-0.182
4.184,-0.207
4.188,-0.172
4.192,-0.21
4.196,-0.212
4.2,-0.177
4.204,-0.158
4.208,-0.158
4.212,-0.21
4.216,-0.212
4.22,-0.212
4.224,-0.175
4.228,-0.182
4.232,-0.17
4.236,-0.138
4.24,-0.15
4.244,-0.177
4.248,-0.172
4.252,-0.165
4.256,-0.185
4.26,-0.185
4.264,-0.147
4.268,-0.14
4.272,-0.145
4.276,-0.122
4.28,-0.158
4.284,-0.188
4.288,-0.15
4.292,-0.163
4.296,-0.14
4.3,-0.135
4.304,-0.14
4.308,-0.14
4.312,-0.163
4.316,-0.175
4.32,-0.163
4.324,-0.163
4.328,-0.16
4.332,-0.138
4.336,-0.12
4.34,-0.095
4.344,-0.113
4.348,-0.125
4.352,-0.122
4.356,-0.102
4.36,-0.128
4.364,-0.11
4.368,-0.085
4.372,-0.087
4.376,-0.115
4.38,-0.125
4.384,-0.133
4.388,-0.083
4.392,-0.1
4.396,-0.077
4.4,-0.085
4.404,-0.035
4.408,-0.015
4.412,-0.028
4.416,-0.058
4.42,0.007
4.424,-0.028
4.428,0.007
4.432,0.013
4.436,0.028
4.44,0.015
4.444,0.015
4.448,0.028
4.452,0.0
4.456,0.022
4.46,0.015
4.464,0.035
4.468,0.013
4.472,-0.033
4.476,0.022
4.48,-0.048
4.484,-0.033
4.488,-0.058
4.492,-0.028
4.496,-0.022
4.5,0.02
4.504,0.007
4.508,0.015
4.512,0.025
4.516,0.035
4.52,0.022
4.524,0.033
4.528,0.063
4.532,0.102
4.536,0.095
4.54,0.147
4.544,0.133
4.548,0.26
4.552,0.385
4.556,0.625
4.56,0.983
4.564,1.482
4.568,1.97
4.572,2.41
4.576,2.565
4.58,2.498
4.584,2.07
4.588,1.522
4.592,0.897
4.596,0.458
4.6,0.14
4.604,-0.022
4.608,0.0
4.612,-0.035
4.616,-0.01
4.62,0.0
4.624,0.01
4.628,-0.015
4.632,0.003
4.636,-0.05
4.64,-0.05
4.644,-0.077
4.648,-0.11
4.652,-0.098
4.656,-0.1
4.66,-0.122
4.664,-0.115
4.668,-0.06
4.672,-0.113
4.676,-0.095
4.68,-0.11
4.684,-0.147
4.688,-0.128
4.692,-0.113
4.696,-0.115
4.7,-0.1
4.704,-0.102
4.708,-0.125
4.712,-0.14
4.716,-0.113
4.72,-0.15
4.724,-0.133
4.728,-0.107
4.732,-0.147
4.736,-0.098
4.74,-0.113
4.744,-0.12
4.748,-0.147
4.752,-0.15
4.756,-0.115
4.76,-0.147
4.764,-0.138
4.768,-0.113
4.772,-0.063
4.776,-0.095
4.78,-0.12
4.784,-0.135
4.788,-0.11
4.792,-0.115
4.796,-0.122
4.8,-0.115
4.804,-0.1
4.808,-0.113
4.812,-0.083
4.816,-0.12
4.82,-0.147
4.824,-0.12
4.828,-0.133
4.832,-0.125
4.836,-0.113
4.84,-0.122
4.844,-0.107
4.848,-0.15
4.852,-0.133
4.856,-0.147
4.86,-0.12
4.864,-0.128
4.868,-0.085
4.872,-0.083
4.876,-0.072
4.88,-0.085
4.884,-0.083
4.888,-0.12
4.892,-0.065
4.896,-0.02
4.9,0.0
4.904,0.052
4.908,0.11
4.912,0.077
4.916,0.095
4.92,0.048
4.924,0.077
4.928,0.113
4.932,0.152
4.936,0.15
4.94,0.17
4.944,0.175
4.948,0.138
4.952,0.135
4.956,0.107
4.96,0.14
4.964,0.113
4.968,0.14
4.972,0.122
4.976,0.133
4.98,0.102
4.984,0.065
4.988,0.052
4.992,0.072
4.996,0.09
5.0,0.098
5.004,0.1
5.008,0.085
5.012,0.07
